ID,Phase,Priority,Workstream,Deliverable,Acceptance evidence,Lead role,Dependencies,Relative effort,Baseline evidence,Current assessment,Implementation evidence,Remaining closure or scope boundary
R14,1-2,High,Manufacturing experience B,Two wafer streams to a qualified accelerator pilot,Persistent logic/memory input identity; distinct TC-NCF/MR-MUF/hybrid interfaces; one stage constraint changes compatible accepted output; reviewer validates process and yield scope,Semiconductor reviewer + visualization/model engineer,R02;R05;R11;R12;R13,L,VISUAL-LEARNING-AUDIT.md; prior PLAN W01-W06,Implemented; specialist observation open,Logic/memory specimen identities and distinct bonding/acceptance routes reach conditional usable output.,Record specialist validation of process/yield scope and pilot learner observations.
R15,1-2,High,Foundational experience A,Switching event to multiply-accumulate pilot,Coordinate energy/real-space/circuit/timing/bit representations; actual arithmetic trace and bounded voltage/load tradeoff; transferable prediction task,Device/circuit reviewer + visualization/model engineer,R02;R05;R12;R13,L,CURRICULUM-AUDIT.md,Implemented; learner observation open,"Charge, energy, timing, bits and exact arithmetic are coordinated in a bounded teaching model.",Observe transfer predictions and record specialist scope review; no measured transistor behavior is implied.
R16,2,High,Execution experience C,Request to evaluated result pilot,Inspect actual small tensor computation; trace one operation into execution; clearly separate larger planning scenario; quality/latency/resource outcome and failure case,ML/compiler reviewer + model engineer,R02;R05;R11;R12;R13,L,CURRICULUM-AUDIT.md; VISUAL-LEARNING-AUDIT.md,Implemented within bounded scope,Four-token attention and bounded deployment planning link to two evaluated toy application cases.,Observe learner tasks; these artifacts do not implement full language-model training or an autonomous agent.
R17,1-2,High,Learning evidence,Add predict-explain-transfer and learner-owned scenario records,First attempt separate from practice; explanation rubric and unfamiliar transfer case; export/import with content/check/model versions; sharing restores intended state,Learning designer + frontend engineer,R08;R12,M,PLATFORM-AUDIT.md,Implemented; observation open,"First attempt/practice, explanation rubric, transfer prompts and versioned learner records are available.","Observe whether learners can explain and transfer, including restoration with realistic assistance conditions."
R18,2,High,Formative validation,Observe 6-9 sessions across intended learner groups,Document tasks/sample/device/assistance/failure points; revise three pilots; report limitations and avoid efficacy claims from small sample,Learning researcher/designer,R14;R15;R16;R17;R10,M,ASSESSMENT-AND-ROADMAP.md section 9,Prepared; observation not performed,"Scripts, blank forms and device/learner coordination are prepared.","Run and document 6–9 actual learner sessions, then implement and record resulting revisions."
R19,3,Medium,W01-W04 fabrication,Extend process-specific unit-operation and integration depth,Reviewed material transforms and measurements for selected flows; link variation/test evidence to device or accepted-output consequences,Semiconductor editor + visualization engineer,R14;R15;R18,L,Prior PLAN W01-W04,Implemented within selected flows,"An 11-stage fabrication specimen and nine cohorts connect transforms, measurements and accepted-output consequences.",Close specialist/learner review; deepen additional unit operations without claiming all fab routes are physically simulated.
R20,3,Medium,W05-W06 package and HBM,Extend interface/reliability and physical/logical memory depth,Joint and thermal/mechanical behavior distinct; one bit/channel/stack mapping; known-good/test/qualification assumptions preserved across scenario,Packaging/memory reviewer,R14;R18,L,Prior PLAN W05-W06; v1.2.0 addendum,Implemented within selected mechanisms,"Bit/bank/channel/stack state, bond interfaces, thermal/CTE indicators and tier ledgers are present.","Record review of interface/reliability assumptions; integrate timing, refresh/ECC and workload traces in later depth work."
R21,3,Medium,W07 architectures,Compare same operation across scalar/vector/SIMT/systolic mechanisms,Numerical output invariant; scheduling/locality/traffic differences visible; no unsupported cross-vendor performance equivalence,Architecture reviewer + visualization engineer,R15;R16;R18,L,Prior PLAN W07,Implemented within bounded comparison,Exact 2×2/3×3 arithmetic is invariant across scalar/vector/SIMT/systolic organizations with transfer traces.,No vendor-cycle equivalence or complete CPU/GPU microarchitecture is established; those are additive work.
R22,3,Medium,W08 and CRG realization,Publish one reproducible computation-to-physical-artifact case,Carry contract/precision/payload/resource assumptions through a public bounded RTL/netlist/layout flow; separate formal claim from empirical validation and qualification,Chip-design/CRG reviewer + model engineer,R11;R15;R16;R18,L,Prior PLAN W08 and CRG addendum,Artifact implemented; publication open,"Reproducible FPGA RTL, SAT, mapped simulation, placement/routing, timing and bitstream are packaged locally.","Publish the bounded artifact when authorized; public release, measured board behavior and ASIC signoff are not recorded."
R23,3,Medium,W09 chip to hall,Connect byte/current/coolant/heat and operational readiness,Common system boundary; correct paths and conservation; commissioning/fault/recovery scenario changes retained useful work without double counting,Infrastructure/network reviewer + model engineer,R12;R14;R16;R18,L,Prior PLAN W09 and six amendments,Implemented within bounded scenario,"A common hall workload couples byte/current/coolant paths, readiness, faults, checkpoint commits and retained-work/energy accounting.","Record infrastructure review; further network, diagnostics and operating models remain candidate expansion."
R24,3,Medium,W10 global capacity and current topics,Maintain dated capacity/queue/allocation cases with uncertainty,Separate operating/building/announced and IT/facility bases; no inferred private customer queue or overlapping totals; source and review trigger visible,Evidence editor + infrastructure reviewer,R25;R23,M,Prior PLAN W10 and current-topic contract,Implemented; maintenance is continuing,Five dated primary-source cases and finite-allocation controls retain uncertainty and capacity-state distinctions.,Execute future freshness/supersession cycles as evidence changes; do not infer private customer queues.
R25,1-4,High,Evidence operations,Unify claim provenance and assign review ownership,All claims in promoted experiences have scope/locator/status/date/owner; schema tracks supersession and review triggers; no claim of verification from link presence alone,Evidence editor + maintainer,R08,M,PLATFORM-AUDIT.md,Infrastructure implemented; review coverage partial,"Claim/source-use ledger, locators, ownership roles, dates and recheck contracts exist; eight experiences have 62 recorded AI source-use checks.","Confirm accountable review-owner assignments; current roles are proposed, not assigned. Record remaining baseline source-scope reviews and independent specialist review; 224 baseline lessons remain pending, and URLs alone are not verification."
R26,3,Medium,W11 model science and applications,Deepen data/optimization/evaluation and contrasting application cases,Connect prerequisites to worked computation; at least two application constraints with evaluated quality/failure/latency/resource tradeoffs,ML reviewer + learning designer,R16;R18;R25,L,Prior PLAN W11; CURRICULUM-AUDIT.md,Implemented within minimum cases; breadth remains,Actually trained logistic classification and evaluated TF–IDF retrieval expose failure and declared resource assumptions.,The full model-development lifecycle and broader application families are not delivered by these two cases; expand additively.
R27,3,Medium,W12 orbital and frontier,Couple workload to bounded mission feasibility cases,Energy/thermal/contact/radiation/reliability assumptions consistent; evidence states and unresolved design requirements explicit; sensitivity shown,Space-systems reviewer + model engineer,R16;R23;R25,L,Prior PLAN W12,Implemented within synthetic mission,"Two prescribed illumination cycles couple power, battery, heat, contact, storage and scripted resets.","Keep environment/qualification limits explicit; this is not orbital propagation, radiation qualification or a flight-ready design."
R28,3,Medium,History and scaling,Link breakthroughs to mechanisms and constrained progress,Milestones connect to lesson/example/source and changed bottleneck; fitted trends retain metric/period/normalization; capability evidence separate from installed capacity,History/science editor,R02;R25;R26,M,Prior PLAN historical/current-topic contracts,Implemented within selected mechanisms,Ten linked breakthrough mechanisms preserve 76 milestones; conditional scaling and dated capacity evidence are distinguished.,Expand model-method history and maintain source freshness; no fitted trend establishes an AGI timetable.
R29,3-4,Medium,Film and walkthrough,Refresh navigation companion around completed experiences,Video faithfully shows current interactions; chapter links/captions/transcript point to related lessons; reviewed build identity,Learning designer + media producer,R18,M,Prior PLAN release gate,Implemented; capture boundary disclosed,"60-second actual-interface compilation, original score, captions, transcript and eight chapter links are packaged.",Capture preceded four final lessons and recovery edits; refresh relevant footage after new experiences change navigation.
R30,4,Medium,Sustainable contribution,Enable second-author review and instructor reuse,Second contributor adds compliant reviewed unit; instructor pack includes outcomes/tasks/rubrics/scenarios; no account required for initial reuse,Maintainer + learning designer,R18;R25,M,PLATFORM-AUDIT.md,Implemented; independent reuse open,"Instructor kit, 14 computed contracts, rubric and a second-AI-author unit are present.",Observe independent human author/instructor reuse; the existing AI contribution is not evidence of that observation.
