ID,Phase,Priority,Workstream,Deliverable,Acceptance evidence,Lead role,Dependencies,Relative effort,Baseline evidence
R19,3,Medium,W01-W04 fabrication,Extend process-specific unit-operation and integration depth,Reviewed material transforms and measurements for selected flows; link variation/test evidence to device or accepted-output consequences,Semiconductor editor + visualization engineer,R14;R15;R18,L,Prior PLAN W01-W04
R20,3,Medium,W05-W06 package and HBM,Extend interface/reliability and physical/logical memory depth,Joint and thermal/mechanical behavior distinct; one bit/channel/stack mapping; known-good/test/qualification assumptions preserved across scenario,Packaging/memory reviewer,R14;R18,L,Prior PLAN W05-W06; v1.2.0 addendum
R21,3,Medium,W07 architectures,Compare same operation across scalar/vector/SIMT/systolic mechanisms,Numerical output invariant; scheduling/locality/traffic differences visible; no unsupported cross-vendor performance equivalence,Architecture reviewer + visualization engineer,R15;R16;R18,L,Prior PLAN W07
R22,3,Medium,W08 and CRG realization,Publish one reproducible computation-to-physical-artifact case,Carry contract/precision/payload/resource assumptions through a public bounded RTL/netlist/layout flow; separate formal claim from empirical validation and qualification,Chip-design/CRG reviewer + model engineer,R11;R15;R16;R18,L,Prior PLAN W08 and CRG addendum
R23,3,Medium,W09 chip to hall,Connect byte/current/coolant/heat and operational readiness,Common system boundary; correct paths and conservation; commissioning/fault/recovery scenario changes retained useful work without double counting,Infrastructure/network reviewer + model engineer,R12;R14;R16;R18,L,Prior PLAN W09 and six amendments
R24,3,Medium,W10 global capacity and current topics,Maintain dated capacity/queue/allocation cases with uncertainty,Separate operating/building/announced and IT/facility bases; no inferred private customer queue or overlapping totals; source and review trigger visible,Evidence editor + infrastructure reviewer,R25;R23,M,Prior PLAN W10 and current-topic contract
R25,1-4,High,Evidence operations,Unify claim provenance and assign review ownership,All claims in promoted experiences have scope/locator/status/date/owner; schema tracks supersession and review triggers; no claim of verification from link presence alone,Evidence editor + maintainer,R08,M,PLATFORM-AUDIT.md
R26,3,Medium,W11 model science and applications,Deepen data/optimization/evaluation and contrasting application cases,Connect prerequisites to worked computation; at least two application constraints with evaluated quality/failure/latency/resource tradeoffs,ML reviewer + learning designer,R16;R18;R25,L,Prior PLAN W11; CURRICULUM-AUDIT.md
R27,3,Medium,W12 orbital and frontier,Couple workload to bounded mission feasibility cases,Energy/thermal/contact/radiation/reliability assumptions consistent; evidence states and unresolved design requirements explicit; sensitivity shown,Space-systems reviewer + model engineer,R16;R23;R25,L,Prior PLAN W12
R28,3,Medium,History and scaling,Link breakthroughs to mechanisms and constrained progress,Milestones connect to lesson/example/source and changed bottleneck; fitted trends retain metric/period/normalization; capability evidence separate from installed capacity,History/science editor,R02;R25;R26,M,Prior PLAN historical/current-topic contracts
R29,3-4,Medium,Film and walkthrough,Refresh navigation companion around completed experiences,Video faithfully shows current interactions; chapter links/captions/transcript point to related lessons; reviewed build identity,Learning designer + media producer,R18,M,Prior PLAN release gate
R30,4,Medium,Sustainable contribution,Enable second-author review and instructor reuse,Second contributor adds compliant reviewed unit; instructor pack includes outcomes/tasks/rubrics/scenarios; no account required for initial reuse,Maintainer + learning designer,R18;R25,M,PLATFORM-AUDIT.md
